1;0;15;7;0;0;16;7;0;C:\EDU\Orient\bin\Debug\..\..\base\more\01a559b9574028c22a2b46b9bbb0f4bd_1_NA.JPG;;;;;;
1;0;9;8;1;0;11;8;0;C:\EDU\Orient\bin\Debug\..\..\base\more\01bb35e089cfa6636420484fbc399793_1_NA.JPG;;;;;;
2;5;59;33;2;5;63;43;0;C:\EDU\Orient\bin\Debug\..\..\base\more\02a56535347050aef20677bd4149aa5e_1_NA.JPG;;;;;;
0;0;27;11;1;0;28;11;0;C:\EDU\Orient\bin\Debug\..\..\base\more\02d9f2e064079f2893a82e61221f7fa9_1_NA.JPG;;;;;;
4;3;17;11;5;2;26;16;0;C:\EDU\Orient\bin\Debug\..\..\base\more\02e1fced3d8045f91b54db3ae1336077_1_NA.JPG;;;;;;
1;1;24;9;1;0;26;10;0;C:\EDU\Orient\bin\Debug\..\..\base\more\02fdc6e193989c5db5957ef523ff9d58_1_NA.JPG;;;;;;
0;0;52;35;0;0;52;35;0;C:\EDU\Orient\bin\Debug\..\..\base\more\031f347ea221316a54b711cadb6729b6_1_NA.JPG;;;;;;
0;0;7;6;0;0;7;6;0;C:\EDU\Orient\bin\Debug\..\..\base\more\03223471b356809fef6d0882a0349d33_1_NA.JPG;;;;;;
1;0;23;5;1;0;25;5;0;C:\EDU\Orient\bin\Debug\..\..\base\more\03256e94dbeab30f26c20ea65b2a951c_1_ПлатежноеПоручение.JPG;;;;;;
1;1;36;18;1;0;38;19;0;C:\EDU\Orient\bin\Debug\..\..\base\more\0343fd19e07dd8a986c96842856a523e_1_Акт.JPG;;;;;;
2;1;35;22;2;1;39;24;0;C:\EDU\Orient\bin\Debug\..\..\base\more\039a3088cc406f3fffd3fe9d3d31d532_1_NA.JPG;;;;;;
2;0;33;26;0;0;35;26;0;C:\EDU\Orient\bin\Debug\..\..\base\more\03cd4321454d688ca882625869f0554b_1_NA.JPG;;;;;;
2;3;4;2;2;3;8;8;0;C:\EDU\Orient\bin\Debug\..\..\base\more\03e3ea74143cd6afabb9dc874950a017_1_NA.JPG;;;;;;
0;0;13;5;0;0;13;5;0;C:\EDU\Orient\bin\Debug\..\..\base\more\041b285aedfecc5c13a6b4d3f97a3328_1_NA.JPG;;;;;;
1;1;2;0;1;1;4;2;0;C:\EDU\Orient\bin\Debug\..\..\base\more\04214b08cb0dbb62289768b4b75ee59b_1_Отчет.JPG;;;;;;
3;3;8;2;3;4;14;9;0;C:\EDU\Orient\bin\Debug\..\..\base\more\0432e5f0d68c276b4246462821a90fad_1_NA.JPG;;;;;;
0;0;9;10;0;0;9;10;1;C:\EDU\Orient\bin\Debug\..\..\base\more\04848e4cc1f100fff64d21aedc9929af_1_NA.JPG;;;;;;
0;0;81;47;1;0;82;47;0;C:\EDU\Orient\bin\Debug\..\..\base\more\04b03f6918e33aa3977eabc66fe26529_1_NA.JPG;;;;;;
